"Item_Title","Component_Title","Config_Title","Enrollment_Status","Program_Type","Program_Modality","Additional_COA_Components","COA_Component_Cost_Type","COA_Item_Applicability","Cost_Value","Aid_Year"
"Transportation Costs","BUDGET","ONLINE_CERTIFICATE_POST_BACCALAUREATE_2021-2022_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","CERTIFICATE_POST_BACCALAUREATE","ONLINE","","BUDGET","FIXED","150","2021-2022"
"Books","STANDARD","ONLINE_CERTIFICATE_POST_BACCALAUREATE_2021-2022_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","CERTIFICATE_POST_BACCALAUREATE","ONLINE","","STANDARD","PER_CREDIT","30","2021-2022"
"Resource Fee","STANDARD","ONLINE_CERTIFICATE_POST_BACCALAUREATE_2021-2022_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","CERTIFICATE_POST_BACCALAUREATE","ONLINE","","STANDARD","FIXED","140","2021-2022"
"Room and Board On","STANDARD","ONLINE_CERTIFICATE_POST_BACCALAUREATE_2021-2022_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","CERTIFICATE_POST_BACCALAUREATE","ONLINE","","STANDARD","FIXED","coa/CostValue/2022/RoomAndBoardOn.groovy","2021-2022"
"Tuition","STANDARD","ONLINE_CERTIFICATE_POST_BACCALAUREATE_2021-2022_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","CERTIFICATE_POST_BACCALAUREATE","ONLINE","","STANDARD","PER_CREDIT","500","2021-2022"
"Personal Miscellaneous","BUDGET","ONLINE_CERTIFICATE_POST_BACCALAUREATE_2021-2022_NOT_ATTENDING","NOT_ATTENDING","CERTIFICATE_POST_BACCALAUREATE","ONLINE","","BUDGET","FIXED","0","2021-2022"
"Room and Board Off","BUDGET","ONLINE_CERTIFICATE_POST_BACCALAUREATE_2021-2022_NOT_ATTENDING","NOT_ATTENDING","CERTIFICATE_POST_BACCALAUREATE","ONLINE","","BUDGET","FIXED","0","2021-2022"
"Transportation Costs","BUDGET","ONLINE_CERTIFICATE_POST_BACCALAUREATE_2021-2022_NOT_ATTENDING","NOT_ATTENDING","CERTIFICATE_POST_BACCALAUREATE","ONLINE","","BUDGET","FIXED","0","2021-2022"
"Books","STANDARD","ONLINE_CERTIFICATE_POST_BACCALAUREATE_2021-2022_NOT_ATTENDING","NOT_ATTENDING","CERTIFICATE_POST_BACCALAUREATE","ONLINE","","STANDARD","PER_CREDIT","0","2021-2022"
"Resource Fee","STANDARD","ONLINE_CERTIFICATE_POST_BACCALAUREATE_2021-2022_NOT_ATTENDING","NOT_ATTENDING","CERTIFICATE_POST_BACCALAUREATE","ONLINE","","STANDARD","FIXED","0","2021-2022"
"Room and Board On","STANDARD","ONLINE_CERTIFICATE_POST_BACCALAUREATE_2021-2022_NOT_ATTENDING","NOT_ATTENDING","CERTIFICATE_POST_BACCALAUREATE","ONLINE","","STANDARD","FIXED","0","2021-2022"
"Tuition","STANDARD","ONLINE_CERTIFICATE_POST_BACCALAUREATE_2021-2022_NOT_ATTENDING","NOT_ATTENDING","CERTIFICATE_POST_BACCALAUREATE","ONLINE","","STANDARD","PER_CREDIT","0","2021-2022"
"Personal Miscellaneous","BUDGET","ONLINE_CERTIFICATE_POST_BACCALAUREATE_2021-2022_THREE_QUARTER_TIME","THREE_QUARTER_TIME","CERTIFICATE_POST_BACCALAUREATE","ONLINE","","BUDGET","FIXED","650","2021-2022"
"Room and Board Off","BUDGET","ONLINE_CERTIFICATE_POST_BACCALAUREATE_2021-2022_THREE_QUARTER_TIME","THREE_QUARTER_TIME","CERTIFICATE_POST_BACCALAUREATE","ONLINE","","BUDGET","FIXED","coa/CostValue/2022/RoomAndBoardOff.groovy","2021-2022"
"Transportation Costs","BUDGET","ONLINE_CERTIFICATE_POST_BACCALAUREATE_2021-2022_THREE_QUARTER_TIME","THREE_QUARTER_TIME","CERTIFICATE_POST_BACCALAUREATE","ONLINE","","BUDGET","FIXED","150","2021-2022"
"Books","STANDARD","ONLINE_CERTIFICATE_POST_BACCALAUREATE_2021-2022_THREE_QUARTER_TIME","THREE_QUARTER_TIME","CERTIFICATE_POST_BACCALAUREATE","ONLINE","","STANDARD","PER_CREDIT","30","2021-2022"
"Resource Fee","STANDARD","ONLINE_CERTIFICATE_POST_BACCALAUREATE_2021-2022_THREE_QUARTER_TIME","THREE_QUARTER_TIME","CERTIFICATE_POST_BACCALAUREATE","ONLINE","","STANDARD","FIXED","140","2021-2022"
"Room and Board On","STANDARD","ONLINE_CERTIFICATE_POST_BACCALAUREATE_2021-2022_THREE_QUARTER_TIME","THREE_QUARTER_TIME","CERTIFICATE_POST_BACCALAUREATE","ONLINE","","STANDARD","FIXED","coa/CostValue/2022/RoomAndBoardOn.groovy","2021-2022"
"Tuition","STANDARD","ONLINE_CERTIFICATE_POST_BACCALAUREATE_2021-2022_THREE_QUARTER_TIME","THREE_QUARTER_TIME","CERTIFICATE_POST_BACCALAUREATE","ONLINE","","STANDARD","PER_CREDIT","500","2021-2022"
"Personal Miscellaneous","BUDGET","ONLINE_CERTIFICATE_UNDERGRADUATE_2021-2022_FULL_TIME","FULL_TIME","CERTIFICATE_UNDERGRADUATE","ONLINE","","BUDGET","FIXED","650","2021-2022"
"Room and Board Off","BUDGET","ONLINE_CERTIFICATE_UNDERGRADUATE_2021-2022_FULL_TIME","FULL_TIME","CERTIFICATE_UNDERGRADUATE","ONLINE","","BUDGET","FIXED","coa/CostValue/2022/RoomAndBoardOff.groovy","2021-2022"
"Transportation Costs","BUDGET","ONLINE_CERTIFICATE_UNDERGRADUATE_2021-2022_FULL_TIME","FULL_TIME","CERTIFICATE_UNDERGRADUATE","ONLINE","","BUDGET","FIXED","150","2021-2022"
"Books","STANDARD","ONLINE_CERTIFICATE_UNDERGRADUATE_2021-2022_FULL_TIME","FULL_TIME","CERTIFICATE_UNDERGRADUATE","ONLINE","","STANDARD","PER_CREDIT","30","2021-2022"
"Resource Fee","STANDARD","ONLINE_CERTIFICATE_UNDERGRADUATE_2021-2022_FULL_TIME","FULL_TIME","CERTIFICATE_UNDERGRADUATE","ONLINE","","STANDARD","FIXED","140","2021-2022"
"Room and Board On","STANDARD","ONLINE_CERTIFICATE_UNDERGRADUATE_2021-2022_FULL_TIME","FULL_TIME","CERTIFICATE_UNDERGRADUATE","ONLINE","","STANDARD","FIXED","coa/CostValue/2022/RoomAndBoardOn.groovy","2021-2022"
"Tuition","STANDARD","ONLINE_CERTIFICATE_UNDERGRADUATE_2021-2022_FULL_TIME","FULL_TIME","CERTIFICATE_UNDERGRADUATE","ONLINE","","STANDARD","PER_CREDIT","500","2021-2022"
"Personal Miscellaneous","BUDGET","ONLINE_CERTIFICATE_UNDERGRADUATE_2021-2022_HALF_TIME","HALF_TIME","CERTIFICATE_UNDERGRADUATE","ONLINE","","BUDGET","FIXED","650","2021-2022"
"Room and Board Off","BUDGET","ONLINE_CERTIFICATE_UNDERGRADUATE_2021-2022_HALF_TIME","HALF_TIME","CERTIFICATE_UNDERGRADUATE","ONLINE","","BUDGET","FIXED","coa/CostValue/2022/RoomAndBoardOff.groovy","2021-2022"
"Transportation Costs","BUDGET","ONLINE_CERTIFICATE_UNDERGRADUATE_2021-2022_HALF_TIME","HALF_TIME","CERTIFICATE_UNDERGRADUATE","ONLINE","","BUDGET","FIXED","150","2021-2022"
"Books","STANDARD","ONLINE_CERTIFICATE_UNDERGRADUATE_2021-2022_HALF_TIME","HALF_TIME","CERTIFICATE_UNDERGRADUATE","ONLINE","","STANDARD","PER_CREDIT","30","2021-2022"
"Resource Fee","STANDARD","ONLINE_CERTIFICATE_UNDERGRADUATE_2021-2022_HALF_TIME","HALF_TIME","CERTIFICATE_UNDERGRADUATE","ONLINE","","STANDARD","FIXED","140","2021-2022"
"Room and Board On","STANDARD","ONLINE_CERTIFICATE_UNDERGRADUATE_2021-2022_HALF_TIME","HALF_TIME","CERTIFICATE_UNDERGRADUATE","ONLINE","","STANDARD","FIXED","coa/CostValue/2022/RoomAndBoardOn.groovy","2021-2022"
"Tuition","STANDARD","ONLINE_CERTIFICATE_UNDERGRADUATE_2021-2022_HALF_TIME","HALF_TIME","CERTIFICATE_UNDERGRADUATE","ONLINE","","STANDARD","PER_CREDIT","500","2021-2022"
"Personal Miscellaneous","BUDGET","ONLINE_CERTIFICATE_UNDERGRADUATE_2021-2022_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","CERTIFICATE_UNDERGRADUATE","ONLINE","","BUDGET","FIXED","650","2021-2022"
"Room and Board Off","BUDGET","ONLINE_CERTIFICATE_UNDERGRADUATE_2021-2022_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","CERTIFICATE_UNDERGRADUATE","ONLINE","","BUDGET","FIXED","coa/CostValue/2022/RoomAndBoardOff.groovy","2021-2022"
"Transportation Costs","BUDGET","ONLINE_CERTIFICATE_UNDERGRADUATE_2021-2022_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","CERTIFICATE_UNDERGRADUATE","ONLINE","","BUDGET","FIXED","150","2021-2022"
"Books","STANDARD","ONLINE_CERTIFICATE_UNDERGRADUATE_2021-2022_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","CERTIFICATE_UNDERGRADUATE","ONLINE","","STANDARD","PER_CREDIT","30","2021-2022"
"Resource Fee","STANDARD","ONLINE_CERTIFICATE_UNDERGRADUATE_2021-2022_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","CERTIFICATE_UNDERGRADUATE","ONLINE","","STANDARD","FIXED","140","2021-2022"
"Room and Board On","STANDARD","ONLINE_CERTIFICATE_UNDERGRADUATE_2021-2022_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","CERTIFICATE_UNDERGRADUATE","ONLINE","","STANDARD","FIXED","coa/CostValue/2022/RoomAndBoardOn.groovy","2021-2022"
"Tuition","STANDARD","ONLINE_CERTIFICATE_UNDERGRADUATE_2021-2022_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","CERTIFICATE_UNDERGRADUATE","ONLINE","","STANDARD","PER_CREDIT","500","2021-2022"
"Personal Miscellaneous","BUDGET","ONLINE_CERTIFICATE_UNDERGRADUATE_2021-2022_NOT_ATTENDING","NOT_ATTENDING","CERTIFICATE_UNDERGRADUATE","ONLINE","","BUDGET","FIXED","0","2021-2022"
"Room and Board Off","BUDGET","ONLINE_CERTIFICATE_UNDERGRADUATE_2021-2022_NOT_ATTENDING","NOT_ATTENDING","CERTIFICATE_UNDERGRADUATE","ONLINE","","BUDGET","FIXED","0","2021-2022"
"Transportation Costs","BUDGET","ONLINE_CERTIFICATE_UNDERGRADUATE_2021-2022_NOT_ATTENDING","NOT_ATTENDING","CERTIFICATE_UNDERGRADUATE","ONLINE","","BUDGET","FIXED","0","2021-2022"
"Books","STANDARD","ONLINE_CERTIFICATE_UNDERGRADUATE_2021-2022_NOT_ATTENDING","NOT_ATTENDING","CERTIFICATE_UNDERGRADUATE","ONLINE","","STANDARD","PER_CREDIT","0","2021-2022"
"Resource Fee","STANDARD","ONLINE_CERTIFICATE_UNDERGRADUATE_2021-2022_NOT_ATTENDING","NOT_ATTENDING","CERTIFICATE_UNDERGRADUATE","ONLINE","","STANDARD","FIXED","0","2021-2022"
"Room and Board On","STANDARD","ONLINE_CERTIFICATE_UNDERGRADUATE_2021-2022_NOT_ATTENDING","NOT_ATTENDING","CERTIFICATE_UNDERGRADUATE","ONLINE","","STANDARD","FIXED","0","2021-2022"
"Tuition","STANDARD","ONLINE_CERTIFICATE_UNDERGRADUATE_2021-2022_NOT_ATTENDING","NOT_ATTENDING","CERTIFICATE_UNDERGRADUATE","ONLINE","","STANDARD","PER_CREDIT","0","2021-2022"
"Personal Miscellaneous","BUDGET","ONLINE_CERTIFICATE_UNDERGRADUATE_2021-2022_THREE_QUARTER_TIME","THREE_QUARTER_TIME","CERTIFICATE_UNDERGRADUATE","ONLINE","","BUDGET","FIXED","650","2021-2022"
"Room and Board Off","BUDGET","ONLINE_CERTIFICATE_UNDERGRADUATE_2021-2022_THREE_QUARTER_TIME","THREE_QUARTER_TIME","CERTIFICATE_UNDERGRADUATE","ONLINE","","BUDGET","FIXED","coa/CostValue/2022/RoomAndBoardOff.groovy","2021-2022"
"Transportation Costs","BUDGET","ONLINE_CERTIFICATE_UNDERGRADUATE_2021-2022_THREE_QUARTER_TIME","THREE_QUARTER_TIME","CERTIFICATE_UNDERGRADUATE","ONLINE","","BUDGET","FIXED","150","2021-2022"
"Books","STANDARD","ONLINE_CERTIFICATE_UNDERGRADUATE_2021-2022_THREE_QUARTER_TIME","THREE_QUARTER_TIME","CERTIFICATE_UNDERGRADUATE","ONLINE","","STANDARD","PER_CREDIT","30","2021-2022"
"Resource Fee","STANDARD","ONLINE_CERTIFICATE_UNDERGRADUATE_2021-2022_THREE_QUARTER_TIME","THREE_QUARTER_TIME","CERTIFICATE_UNDERGRADUATE","ONLINE","","STANDARD","FIXED","140","2021-2022"
"Room and Board On","STANDARD","ONLINE_CERTIFICATE_UNDERGRADUATE_2021-2022_THREE_QUARTER_TIME","THREE_QUARTER_TIME","CERTIFICATE_UNDERGRADUATE","ONLINE","","STANDARD","FIXED","coa/CostValue/2022/RoomAndBoardOn.groovy","2021-2022"
"Tuition","STANDARD","ONLINE_CERTIFICATE_UNDERGRADUATE_2021-2022_THREE_QUARTER_TIME","THREE_QUARTER_TIME","CERTIFICATE_UNDERGRADUATE","ONLINE","","STANDARD","PER_CREDIT","500","2021-2022"
"Personal Miscellaneous","BUDGET","ONLINE_DOCTORAL_2021-2022_FULL_TIME","FULL_TIME","DOCTORAL","ONLINE","","BUDGET","FIXED","650","2021-2022"
"Room and Board Off","BUDGET","ONLINE_DOCTORAL_2021-2022_FULL_TIME","FULL_TIME","DOCTORAL","ONLINE","","BUDGET","FIXED","coa/CostValue/2022/RoomAndBoardOff.groovy","2021-2022"
"Transportation Costs","BUDGET","ONLINE_DOCTORAL_2021-2022_FULL_TIME","FULL_TIME","DOCTORAL","ONLINE","","BUDGET","FIXED","150","2021-2022"
"Books","STANDARD","ONLINE_DOCTORAL_2021-2022_FULL_TIME","FULL_TIME","DOCTORAL","ONLINE","","STANDARD","PER_CREDIT","30","2021-2022"
"Resource Fee","STANDARD","ONLINE_DOCTORAL_2021-2022_FULL_TIME","FULL_TIME","DOCTORAL","ONLINE","","STANDARD","FIXED","140","2021-2022"
"Room and Board On","STANDARD","ONLINE_DOCTORAL_2021-2022_FULL_TIME","FULL_TIME","DOCTORAL","ONLINE","","STANDARD","FIXED","coa/CostValue/2022/RoomAndBoardOn.groovy","2021-2022"
"Tuition","STANDARD","ONLINE_DOCTORAL_2021-2022_FULL_TIME","FULL_TIME","DOCTORAL","ONLINE","","STANDARD","PER_CREDIT","500","2021-2022"
"Personal Miscellaneous","BUDGET","ONLINE_DOCTORAL_2021-2022_HALF_TIME","HALF_TIME","DOCTORAL","ONLINE","","BUDGET","FIXED","650","2021-2022"
"Room and Board Off","BUDGET","ONLINE_DOCTORAL_2021-2022_HALF_TIME","HALF_TIME","DOCTORAL","ONLINE","","BUDGET","FIXED","coa/CostValue/2022/RoomAndBoardOff.groovy","2021-2022"
"Transportation Costs","BUDGET","ONLINE_DOCTORAL_2021-2022_HALF_TIME","HALF_TIME","DOCTORAL","ONLINE","","BUDGET","FIXED","150","2021-2022"
"Books","STANDARD","ONLINE_DOCTORAL_2021-2022_HALF_TIME","HALF_TIME","DOCTORAL","ONLINE","","STANDARD","PER_CREDIT","30","2021-2022"
"Resource Fee","STANDARD","ONLINE_DOCTORAL_2021-2022_HALF_TIME","HALF_TIME","DOCTORAL","ONLINE","","STANDARD","FIXED","140","2021-2022"
"Room and Board On","STANDARD","ONLINE_DOCTORAL_2021-2022_HALF_TIME","HALF_TIME","DOCTORAL","ONLINE","","STANDARD","FIXED","coa/CostValue/2022/RoomAndBoardOn.groovy","2021-2022"
"Tuition","STANDARD","ONLINE_DOCTORAL_2021-2022_HALF_TIME","HALF_TIME","DOCTORAL","ONLINE","","STANDARD","PER_CREDIT","500","2021-2022"
"Personal Miscellaneous","BUDGET","ONLINE_DOCTORAL_2021-2022_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","DOCTORAL","ONLINE","","BUDGET","FIXED","650","2021-2022"
"Room and Board Off","BUDGET","ONLINE_DOCTORAL_2021-2022_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","DOCTORAL","ONLINE","","BUDGET","FIXED","coa/CostValue/2022/RoomAndBoardOff.groovy","2021-2022"
"Transportation Costs","BUDGET","ONLINE_DOCTORAL_2021-2022_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","DOCTORAL","ONLINE","","BUDGET","FIXED","150","2021-2022"
"Books","STANDARD","ONLINE_DOCTORAL_2021-2022_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","DOCTORAL","ONLINE","","STANDARD","PER_CREDIT","30","2021-2022"
"Resource Fee","STANDARD","ONLINE_DOCTORAL_2021-2022_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","DOCTORAL","ONLINE","","STANDARD","FIXED","140","2021-2022"
"Room and Board On","STANDARD","ONLINE_DOCTORAL_2021-2022_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","DOCTORAL","ONLINE","","STANDARD","FIXED","coa/CostValue/2022/RoomAndBoardOn.groovy","2021-2022"
"Tuition","STANDARD","ONLINE_DOCTORAL_2021-2022_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","DOCTORAL","ONLINE","","STANDARD","PER_CREDIT","500","2021-2022"
"Personal Miscellaneous","BUDGET","ONLINE_DOCTORAL_2021-2022_NOT_ATTENDING","NOT_ATTENDING","DOCTORAL","ONLINE","","BUDGET","FIXED","0","2021-2022"
"Room and Board Off","BUDGET","ONLINE_DOCTORAL_2021-2022_NOT_ATTENDING","NOT_ATTENDING","DOCTORAL","ONLINE","","BUDGET","FIXED","0","2021-2022"
"Transportation Costs","BUDGET","ONLINE_DOCTORAL_2021-2022_NOT_ATTENDING","NOT_ATTENDING","DOCTORAL","ONLINE","","BUDGET","FIXED","0","2021-2022"
"Books","STANDARD","ONLINE_DOCTORAL_2021-2022_NOT_ATTENDING","NOT_ATTENDING","DOCTORAL","ONLINE","","STANDARD","PER_CREDIT","0","2021-2022"
"Resource Fee","STANDARD","ONLINE_DOCTORAL_2021-2022_NOT_ATTENDING","NOT_ATTENDING","DOCTORAL","ONLINE","","STANDARD","FIXED","0","2021-2022"
"Room and Board On","STANDARD","ONLINE_DOCTORAL_2021-2022_NOT_ATTENDING","NOT_ATTENDING","DOCTORAL","ONLINE","","STANDARD","FIXED","0","2021-2022"
"Tuition","STANDARD","ONLINE_DOCTORAL_2021-2022_NOT_ATTENDING","NOT_ATTENDING","DOCTORAL","ONLINE","","STANDARD","PER_CREDIT","0","2021-2022"
"Personal Miscellaneous","BUDGET","ONLINE_DOCTORAL_2021-2022_THREE_QUARTER_TIME","THREE_QUARTER_TIME","DOCTORAL","ONLINE","","BUDGET","FIXED","650","2021-2022"
"Room and Board Off","BUDGET","ONLINE_DOCTORAL_2021-2022_THREE_QUARTER_TIME","THREE_QUARTER_TIME","DOCTORAL","ONLINE","","BUDGET","FIXED","coa/CostValue/2022/RoomAndBoardOff.groovy","2021-2022"
"Transportation Costs","BUDGET","ONLINE_DOCTORAL_2021-2022_THREE_QUARTER_TIME","THREE_QUARTER_TIME","DOCTORAL","ONLINE","","BUDGET","FIXED","150","2021-2022"
"Books","STANDARD","ONLINE_DOCTORAL_2021-2022_THREE_QUARTER_TIME","THREE_QUARTER_TIME","DOCTORAL","ONLINE","","STANDARD","PER_CREDIT","30","2021-2022"
"Resource Fee","STANDARD","ONLINE_DOCTORAL_2021-2022_THREE_QUARTER_TIME","THREE_QUARTER_TIME","DOCTORAL","ONLINE","","STANDARD","FIXED","140","2021-2022"
"Room and Board On","STANDARD","ONLINE_DOCTORAL_2021-2022_THREE_QUARTER_TIME","THREE_QUARTER_TIME","DOCTORAL","ONLINE","","STANDARD","FIXED","coa/CostValue/2022/RoomAndBoardOn.groovy","2021-2022"
"Tuition","STANDARD","ONLINE_DOCTORAL_2021-2022_THREE_QUARTER_TIME","THREE_QUARTER_TIME","DOCTORAL","ONLINE","","STANDARD","PER_CREDIT","500","2021-2022"
"Personal Miscellaneous","BUDGET","ONLINE_GRADUATE_2021-2022_FULL_TIME","FULL_TIME","GRADUATE","ONLINE","","BUDGET","FIXED","650","2021-2022"
"Room and Board Off","BUDGET","ONLINE_GRADUATE_2021-2022_FULL_TIME","FULL_TIME","GRADUATE","ONLINE","","BUDGET","FIXED","coa/CostValue/2022/RoomAndBoardOff.groovy","2021-2022"
"Transportation Costs","BUDGET","ONLINE_GRADUATE_2021-2022_FULL_TIME","FULL_TIME","GRADUATE","ONLINE","","BUDGET","FIXED","150","2021-2022"
"Books","STANDARD","ONLINE_GRADUATE_2021-2022_FULL_TIME","FULL_TIME","GRADUATE","ONLINE","","STANDARD","PER_CREDIT","50","2021-2022"
"Resource Fee","STANDARD","ONLINE_GRADUATE_2021-2022_FULL_TIME","FULL_TIME","GRADUATE","ONLINE","","STANDARD","FIXED","140","2021-2022"
"Room and Board On","STANDARD","ONLINE_GRADUATE_2021-2022_FULL_TIME","FULL_TIME","GRADUATE","ONLINE","","STANDARD","FIXED","coa/CostValue/2022/RoomAndBoardOn.groovy","2021-2022"
"Tuition","STANDARD","ONLINE_GRADUATE_2021-2022_FULL_TIME","FULL_TIME","GRADUATE","ONLINE","","STANDARD","PER_CREDIT","500","2021-2022"
"Personal Miscellaneous","BUDGET","ONLINE_GRADUATE_2021-2022_HALF_TIME","HALF_TIME","GRADUATE","ONLINE","","BUDGET","FIXED","650","2021-2022"
"Room and Board Off","BUDGET","ONLINE_GRADUATE_2021-2022_HALF_TIME","HALF_TIME","GRADUATE","ONLINE","","BUDGET","FIXED","coa/CostValue/2022/RoomAndBoardOff.groovy","2021-2022"
"Transportation Costs","BUDGET","ONLINE_GRADUATE_2021-2022_HALF_TIME","HALF_TIME","GRADUATE","ONLINE","","BUDGET","FIXED","150","2021-2022"
"Books","STANDARD","ONLINE_GRADUATE_2021-2022_HALF_TIME","HALF_TIME","GRADUATE","ONLINE","","STANDARD","PER_CREDIT","30","2021-2022"
"Resource Fee","STANDARD","ONLINE_GRADUATE_2021-2022_HALF_TIME","HALF_TIME","GRADUATE","ONLINE","","STANDARD","FIXED","140","2021-2022"
"Room and Board On","STANDARD","ONLINE_GRADUATE_2021-2022_HALF_TIME","HALF_TIME","GRADUATE","ONLINE","","STANDARD","FIXED","coa/CostValue/2022/RoomAndBoardOn.groovy","2021-2022"
"Tuition","STANDARD","ONLINE_GRADUATE_2021-2022_HALF_TIME","HALF_TIME","GRADUATE","ONLINE","","STANDARD","PER_CREDIT","500","2021-2022"
"Personal Miscellaneous","BUDGET","ONLINE_GRADUATE_2021-2022_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","GRADUATE","ONLINE","","BUDGET","FIXED","650","2021-2022"
"Room and Board Off","BUDGET","ONLINE_GRADUATE_2021-2022_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","GRADUATE","ONLINE","","BUDGET","FIXED","coa/CostValue/2022/RoomAndBoardOff.groovy","2021-2022"
"Transportation Costs","BUDGET","ONLINE_GRADUATE_2021-2022_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","GRADUATE","ONLINE","","BUDGET","FIXED","150","2021-2022"
"Books","STANDARD","ONLINE_GRADUATE_2021-2022_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","GRADUATE","ONLINE","","STANDARD","PER_CREDIT","30","2021-2022"
"Resource Fee","STANDARD","ONLINE_GRADUATE_2021-2022_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","GRADUATE","ONLINE","","STANDARD","FIXED","140","2021-2022"
"Room and Board On","STANDARD","ONLINE_GRADUATE_2021-2022_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","GRADUATE","ONLINE","","STANDARD","FIXED","coa/CostValue/2022/RoomAndBoardOn.groovy","2021-2022"
"Tuition","STANDARD","ONLINE_GRADUATE_2021-2022_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","GRADUATE","ONLINE","","STANDARD","PER_CREDIT","500","2021-2022"
"Personal Miscellaneous","BUDGET","ONLINE_GRADUATE_2021-2022_NOT_ATTENDING","NOT_ATTENDING","GRADUATE","ONLINE","","BUDGET","FIXED","0","2021-2022"
"Room and Board Off","BUDGET","ONLINE_GRADUATE_2021-2022_NOT_ATTENDING","NOT_ATTENDING","GRADUATE","ONLINE","","BUDGET","FIXED","0","2021-2022"
"Transportation Costs","BUDGET","ONLINE_GRADUATE_2021-2022_NOT_ATTENDING","NOT_ATTENDING","GRADUATE","ONLINE","","BUDGET","FIXED","0","2021-2022"
"Books","STANDARD","ONLINE_GRADUATE_2021-2022_NOT_ATTENDING","NOT_ATTENDING","GRADUATE","ONLINE","","STANDARD","PER_CREDIT","0","2021-2022"
"Resource Fee","STANDARD","ONLINE_GRADUATE_2021-2022_NOT_ATTENDING","NOT_ATTENDING","GRADUATE","ONLINE","","STANDARD","FIXED","0","2021-2022"
"Room and Board On","STANDARD","ONLINE_GRADUATE_2021-2022_NOT_ATTENDING","NOT_ATTENDING","GRADUATE","ONLINE","","STANDARD","FIXED","0","2021-2022"
"Tuition","STANDARD","ONLINE_GRADUATE_2021-2022_NOT_ATTENDING","NOT_ATTENDING","GRADUATE","ONLINE","","STANDARD","PER_CREDIT","0","2021-2022"
"Personal Miscellaneous","BUDGET","ONLINE_GRADUATE_2021-2022_THREE_QUARTER_TIME","THREE_QUARTER_TIME","GRADUATE","ONLINE","","BUDGET","FIXED","650","2021-2022"
"Room and Board Off","BUDGET","ONLINE_GRADUATE_2021-2022_THREE_QUARTER_TIME","THREE_QUARTER_TIME","GRADUATE","ONLINE","","BUDGET","FIXED","coa/CostValue/2022/RoomAndBoardOff.groovy","2021-2022"
"Transportation Costs","BUDGET","ONLINE_GRADUATE_2021-2022_THREE_QUARTER_TIME","THREE_QUARTER_TIME","GRADUATE","ONLINE","","BUDGET","FIXED","150","2021-2022"
"Books","STANDARD","ONLINE_GRADUATE_2021-2022_THREE_QUARTER_TIME","THREE_QUARTER_TIME","GRADUATE","ONLINE","","STANDARD","PER_CREDIT","30","2021-2022"
"Resource Fee","STANDARD","ONLINE_GRADUATE_2021-2022_THREE_QUARTER_TIME","THREE_QUARTER_TIME","GRADUATE","ONLINE","","STANDARD","FIXED","140","2021-2022"
"Room and Board On","STANDARD","ONLINE_GRADUATE_2021-2022_THREE_QUARTER_TIME","THREE_QUARTER_TIME","GRADUATE","ONLINE","","STANDARD","FIXED","coa/CostValue/2022/RoomAndBoardOn.groovy","2021-2022"
"Tuition","STANDARD","ONLINE_GRADUATE_2021-2022_THREE_QUARTER_TIME","THREE_QUARTER_TIME","GRADUATE","ONLINE","","STANDARD","PER_CREDIT","500","2021-2022"
"Personal Miscellaneous","BUDGET","ONLINE_NON_CREDENTIAL_2021-2022_FULL_TIME","FULL_TIME","NON_CREDENTIAL","ONLINE","","BUDGET","FIXED","650","2021-2022"
"Room and Board Off","BUDGET","ONLINE_NON_CREDENTIAL_2021-2022_FULL_TIME","FULL_TIME","NON_CREDENTIAL","ONLINE","","BUDGET","FIXED","coa/CostValue/2022/RoomAndBoardOff.groovy","2021-2022"
"Transportation Costs","BUDGET","ONLINE_NON_CREDENTIAL_2021-2022_FULL_TIME","FULL_TIME","NON_CREDENTIAL","ONLINE","","BUDGET","FIXED","150","2021-2022"
